species,longitude,latitude,calcite,parmean,salinity,sstmax
Fucusdistichus,-20.24,74.31639,0.00283499993383884,32.7330017089844,31.5739994049072,2.3050000667572
Fucusdistichus,144.18307,44.04696,0.00401399983093143,31.30299949646,32.7140007019043,19.6429996490479
Fucusdistichus,-176.56049,51.93829,0.000151000000187196,25.3910007476807,32.7799987792969,8.63700008392334
Fucusdistichus,-58.83333,55.01667,0.000361999991582707,32.0340003967285,30.7740001678467,9.10700035095215
Fucusdistichus,-75.89486,78.86478,0.00260300002992153,35.2410011291504,32.193000793457,1.10099995136261
Fucusdistichus,-70.61184,42.99216,0.000936000025831163,31.4330005645752,31.1070003509521,18.8010005950928
Fucusdistichus,-52.94704,46.9988,0.000195000000530854,28.7600002288818,31.6490001678467,15.5769996643066
Fucusdistichus,-57.64878,50.14449,0.000323999993270263,31.1060009002686,30.6569995880127,16.9449996948242
Fucusdistichus,-6.75139,61.985,0.000546999974176288,25.8759994506836,35.1809997558594,11.496000289917
Fucusdistichus,172.95437,52.97661,0.000329000002238899,21.8980007171631,32.8559989929199,9.6870002746582
Fucusdistichus,158.60518,52.78148,0.00134499999694526,29.7889995574951,31.9829998016357,12.7790002822876
Fucusdistichus,-65.82422,62.15636,0.000148999999510124,28.2679996490479,32.5229988098145,2.16499996185303
Fucusdistichus,5.31975,60.40217,0.000974000024143606,27.5879993438721,30.4529991149902,18.5949993133545
Fucusdistichus,-63.55222,44.61778,0.00406000018119812,31.3020000457764,30.0739994049072,17.3680000305176
Fucusdistichus,10.73376,56.16585,0.000742000003810972,31.7569999694824,19.6800003051758,19.2119998931885
Fucusdistichus,14.55453,67.27719,0.000560000014957041,29.4500007629395,32.9690017700195,12.1920003890991
Fucusdistichus,-13.87433,64.78424,0.00107400002889335,28.1240005493164,34.6570014953613,7.6269998550415
Fucusdistichus,-76.52339,64.24276,0.000903000007383525,31.5510005950928,31.9839992523193,2.60899996757507
Fucusdistichus,-79.88584,72.42262,0.000618999998550862,43.2050018310547,28.8759994506836,1.63499999046326
Fucusdistichus,-69.48739,43.87466,0.00243899994529784,33.0670013427734,31.257999420166,17.1319999694824
Fucusdistichus,-53.81833,47.68333,0.000234999999520369,30.8959999084473,31.6730003356934,14.6420001983643
Fucusdistichus,141.02022,42.32272,0.000647999986540526,29.1149997711182,32.6180000305176,21.0540008544922
Fucusdistichus,-94.174,58.77608,0.0100659998133779,30.6389999389648,27.8419990539551,9.72799968719482
Fucusdistichus,-92.72262,74.09869,0.000701999990269542,28.5060005187988,31.2320003509521,1.10599994659424
Fucusdistichus,-123.8,49.13333,0.00350699992850423,32.8240013122559,26.7630004882812,17.3649997711182
Fucusdistichus,173.58633,61.70325,0.00700099999085069,30.0300006866455,32.0540008544922,9.99300003051758
Fucusdistichus,-53.56269,69.23975,0.000600999977905303,34.6430015563965,32.7490005493164,6.37799978256226
Fucusdistichus,-59.88333,55.43333,0.000402000005124137,31.3419990539551,31.1259994506836,9.13099956512451
Fucusdistichus,-2.01157,57.69852,0.000867000024300069,29.1599998474121,34.7109985351562,14.2810001373291
Fucusdistichus,-64.35168,48.80665,0.00501499976962805,34.7929992675781,28.1560001373291,16.6509990692139
Fucusdistichus,16.48414,78.41002,0.005729999858886,31.5139999389648,31.7299995422363,5.38299989700317
Fucusdistichus,172.05738,61.08076,0.00162200001068413,29.4869995117188,32.2669982910156,7.3439998626709
Fucusdistichus,-70.61024,42.98031,0.000936000025831163,31.4330005645752,31.1070003509521,18.8010005950928
Fucusdistichus,-124.01093,46.90572,0.0118810003623366,31.5060005187988,20.4629993438721,14.2250003814697
Fucusdistichus,23.65898,70.66674,0.00146699999459088,29.8959999084473,33.9059982299805,9.40999984741211
Fucusdistichus,-68.51261,63.72932,0.000805000017862767,26.2609996795654,33.515998840332,1.9099999666214
Fucusdistichus,20.80651,78.04581,0.00176200002897531,28.7810001373291,33.3839988708496,2.61400008201599
Fucusdistichus,164.1571,58.77797,0.00199800007976592,30.6940002441406,32.4529991149902,12.7629995346069
Fucusdistichus,-131.59625,55.29633,0.000957000011112541,27.5960006713867,28.0349998474121,14.9530000686646
Fucusdistichus,10.17471,54.36745,0.000850000011269003,34.351001739502,14.6599998474121,18.7880001068115
Fucusdistichus,-147.69628,60.36417,0.000532999983988702,25.9729995727539,28.3110008239746,15.2349996566772
Fucusdistichus,167.09674,60.35114,0.00145500001963228,30.2959995269775,32.3610000610352,12.0869998931885
Fucusdistichus,12.5084,56.2552,0.00203399988822639,31.8349990844727,17.9909992218018,19.753999710083
Fucusdistichus,-1.13666,60.15332,0.000257000006968156,26.8729991912842,35.226001739502,13.3070001602173
Fucusdistichus,31.36959,69.64192,0.00124899996444583,27.7959995269775,31.42799949646,11.1359996795654
Fucusdistichus,-3.7487,58.58681,0.000624999986030161,28.2140007019043,34.7150001525879,13.5989999771118
Fucusdistichus,-4.16667,57.63333,0.00139500002842396,28.3939990997314,34.5349998474121,14.706000328064
Fucusdistichus,11.00731,79.56237,0.00594200007617474,26.7590007781982,33.2470016479492,2.07699990272522
